GEO_ID,GEOID_LONG,NAME,2012 Total Pop Percent Insured,2018 Total Pop Percent Insured,2022 Total Pop Percent Insured,,"2012 Percent Insured Under $25,000","2012 Percent Insured $25,000-$49,999","2012 Percent Insured $50,000-$74,999","2012 Percent Insured $75,000-$99,999","2012 Percent Insured Over $100,000","2018 Percent Insured Under $25,000","2018 Precent Insured $25,000-$49,999","2018 Percent Insured $50,000-$74,999","2018 Percent Insured $75,000-$99,999","2018 Percent Insured Over $100,000","2022 Percent Insured Under $25,000","2022 Percent Insured $25,000-$49,999","2022 Percent Insured Under $50,000-$74,999","2022 Percent Insured $75,000-$99,999","2022 Percent Insured $100,000",,Percent Insured Male 2012,Percent Insured Male 2018,Percent Insured Male 2022,Percent Insured Female 2012,Percent Insured Female 2018,Percent Insured Female 2022,,2012 Insured Percentage African American,2018 Insured Percentage African American,2018 Insured Percentage African American,2012 Insured Percentage White Population,2018 Insured Percentage White Population,2022 Insured Percentage White Population
39001,0500000US39001,"Adams County, Ohio",81.7,91.3,91.5,,82.1,71.5,85.8,85.6,94.2,92,92.4,84.5,92.1,94,92.7,89.3,89.7,92.8,92.8,,81.9,89.9,89.9,81.4,92.6,93,,86.5,97.7,100.0,81.6,91.3,91.5
39003,0500000US39003,"Allen County, Ohio",87.7,93.3,93.8,,78.8,84.5,92.4,93,95.2,93.5,91.5,91.6,95.7,95,93.8,91.7,92.6,95.1,95.1,,86.4,92.3,93.1,89,94.3,94.5,,83.4,91.1,92.3,88.6,93.7,94.4
39005,0500000US39005,"Ashland County, Ohio",84.6,91.3,91.8,,79.5,77.1,89.3,91.1,90.8,84.1,89.3,92.4,94.9,93.3,85.6,86.1,89.7,94.3,97,,83.3,90.9,90.8,85.7,91.6,92.9,,77.2,79.3,99.0,84.6,91.3,91.8
39007,0500000US39007,"Ashtabula County, Ohio",86.5,90.8,90,,80.1,82.4,90.1,92.4,94.6,83.3,89,93.7,94.1,96.5,91.7,88.8,87.8,85.7,93.9,,85.6,89.3,88.3,87.4,92.3,91.7,,90.2,80.4,92.4,86.3,90.7,90.2
39009,0500000US39009,"Athens County, Ohio",89.1,93.7,94,,85.8,85.2,86.3,95.8,95.1,91.3,91.7,93.7,92.4,97.8,93.2,91.1,89.6,94.9,97.3,,88,92.9,92.4,80.1,94.6,95.6,,91.6,93.3,90.5,88.7,94.1,94.1
39011,0500000US39011,"Auglaize County, Ohio",91.9,95.9,95.8,,82.8,87.6,93.3,96.6,97.6,92.2,93.4,96.2,97.1,97.8,95.1,93.5,95.3,94.4,97.4,,92.1,94.9,95.5,91.8,97,96.1,,86.3,88.8,100.0,92.3,96,95.8
39013,0500000US39013,"Belmont County, Ohio",89.1,94,93.5,,81.2,86.3,93.3,93.8,96.5,92.1,93.4,93.6,95.3,95.6,91.6,91,94,95,94.9,,88.1,93.3,92.8,90.1,94.7,94.2,,81.1,83.1,91.1,89.2,94.1,94.1
39015,0500000US39015,"Brown County, Ohio",85.9,92.5,93.5,,80,83.3,88.2,86.5,94.9,93.6,88.1,92.2,95.5,94,88.9,92.6,89.5,95.9,96.5,,83.5,90.6,92.6,88.3,94.2,94.4,,99.2,84.5,98.0,86.2,92.4,93.5
39017,0500000US39017,"Butler County, Ohio",89.3,94.2,93.7,,79.8,82.2,89.8,94.1,96.2,92.4,90.2,91.2,95.4,97.6,88.7,89.9,90.8,94.4,96.7,,87.8,93.5,92.7,90.7,94.9,94.7,,83.2,91.4,92.7,90.3,94.7,94.6
39019,0500000US39019,"Carroll County, Ohio",85.6,90.8,89.5,,74,83.8,90.3,89.4,94.3,85.3,88.3,94.5,89.8,94.4,92,83.4,91.8,86.6,91.7,,85.5,90,88.3,85.7,91.6,90.7,,85.6,100.0,60.7,85.5,90.9,89.7
39021,0500000US39021,"Champaign County, Ohio",89.2,94.4,95.1,,81.9,86.9,90.9,93.3,93.6,93.3,89.6,94.6,96.4,97.3,92.3,94.2,94.4,93.5,97.3,,88.3,93.2,94.4,90.1,95.6,95.8,,82.2,98.2,96.9,89.7,94.3,95
39023,0500000US39023,"Clark County, Ohio",88.1,93.2,93.1,,82.1,84.7,91.3,91.5,94.4,89.3,91.1,92.7,96.1,97.3,93,91,90.9,92.7,95.8,,86.3,92.5,91.8,89.8,93.8,94.3,,85.3,88.9,92.6,88.9,93.4,93.5
39025,0500000US39025,"Clermont County, Ohio",88.3,94.3,94.4,,75,80.6,87.9,93.3,96.3,91.2,91.7,92.1,96,97,95.1,90.2,92.4,94.1,96.2,,87.6,93.4,93.4,89,95.2,95.5,,79.2,88.7,88.8,88.7,94.4,95
39027,0500000US39027,"Clinton County, Ohio",87.8,94.1,94.3,,83.6,81.4,90.2,92.7,93.8,90.8,92.2,92.2,95.6,98.1,89,93.1,91.4,95.5,97.4,,86,93.6,94.2,89.6,94.6,94.4,,93.2,99.2,98.7,87.9,93.9,94.5
39029,0500000US39029,"Columbiana County, Ohio",87.8,92.8,92.6,,79.4,85.4,92.2,91.1,95.2,91.9,88.8,94.3,93.7,96.5,91,90.1,88.8,95.8,95.2,,87,91.5,91.8,88.6,94,93.3,,85.9,98.3,83.9,87.9,93.2,92.5
39031,0500000US39031,"Coshocton County, Ohio",84.4,89,89.7,,83.5,78.8,86.1,89.5,91.2,90.1,89.3,89.3,90.3,86.1,92.7,90.5,86.9,94.2,86.5,,84.4,88.5,88.6,84.4,89.6,90.8,,92.3,100.0,99.7,84.3,88.8,89.9
39033,0500000US39033,"Crawford County, Ohio",87.8,93.8,93.3,,79.8,84.6,92.6,93.8,94.2,93.7,91.9,93,94.4,97.8,95.3,91.6,92.3,93.6,94.4,,86.4,92.8,91.7,89,94.8,94.8,,83,100.0,98.9,87.8,93.9,93.1
39035,0500000US39035,"Cuyahoga County, Ohio",88.3,94,94.5,,80,84.3,89.8,94.2,96.3,90.7,91.5,94.4,95.6,97.5,92.8,91.5,93.2,95,96.9,,86.3,92.7,93.3,90.1,95.2,95.5,,83.6,93.2,92.6,90.6,94.9,95.6
39037,0500000US39037,"Darke County, Ohio",87.4,94.1,93.1,,80.2,82.3,90.1,94.5,93.3,88.3,94.1,92.7,97.2,96.8,94.2,91.3,90.2,92.3,95.7,,86.1,93.6,92.4,88.6,94.7,93.8,,95.4,87.1,86.5,87.3,94.3,93.3
39039,0500000US39039,"Defiance County, Ohio",89.7,94.4,93.1,,84.5,82.1,92.5,95.6,98.1,93.3,93.2,94.1,95.8,95.4,88.5,89.6,91.4,96.2,95,,88.6,93.8,91.6,90.7,95.1,94.5,,87,90.5,89.9,90.1,95.2,93.6
39041,0500000US39041,"Delaware County, Ohio",94.9,96.1,95.6,,87.4,85.2,93,96.4,98.2,89.7,90.7,94.2,95,98,92.1,92.3,91.2,92.4,97.1,,94.1,95.8,95.4,95.7,96.5,95.9,,92.3,94.7,93.7,95.2,96.3,96
39043,0500000US39043,"Erie County, Ohio",88.9,95,94.5,,80.2,85.4,87.8,97.3,95.9,91.9,93.5,95.1,95,98.2,92.8,91,93.6,95.9,96.7,,88,94.5,94.4,89.8,95.5,94.6,,80.2,92.0,90.0,90.1,96,95.2
39045,0500000US39045,"Fairfield County, Ohio",90.6,94.9,94,,84.4,83.2,90,94.6,97.4,93,91.7,93.8,96.5,96.9,90.3,88.7,93,94.4,96.2,,89.9,94.2,93.6,91.3,95.5,94.4,,89.3,95.5,93.8,90.7,95.2,94.3
39047,0500000US39047,"Fayette County, Ohio",84.4,92.6,92.1,,79.2,78.5,90.4,90,92.2,92.8,90.6,93.3,92.6,94.5,94.1,90.8,91.2,83.7,96.7,,82.4,91.8,91.8,86.4,93.4,92.4,,65.9,98.2,97.8,84.7,93.3,92.4
39049,0500000US39049,"Franklin County, Ohio",86.7,91.9,92,,76.5,80.6,86.7,92.8,96.7,86.2,87.3,91,94.1,97.2,89,87.8,88.9,90.6,95.9,,85,90.4,90.5,88.4,93.3,93.4,,82.2,89.3,88.9,88.7,93.3,94.1
39051,0500000US39051,"Fulton County, Ohio",91.8,95.5,94.3,,83.9,86.8,94.5,96.8,96.1,89.8,94,94.8,97.6,98,89.3,95.7,88.6,94.9,97.1,,90.6,94.2,93,92.9,96.8,95.6,,80.7,85.1,89.1,92.5,96,94.5
39053,0500000US39053,"Gallia County, Ohio",85.6,89.4,89,,82.7,81.2,84.1,90.3,94.6,83.9,85.4,93.2,93.5,93.9,89.3,86.5,87.1,84.7,93,,84.3,88.3,89.4,86.8,90.4,88.6,,86.5,95.5,95.2,85.5,89.1,89.2
39055,0500000US39055,"Geauga County, Ohio",88.1,91.2,91.9,,76.2,77.5,85.4,92.5,96.3,89.3,84.2,86.4,92.8,94.8,91.4,88.8,86.4,91,93.9,,87.3,90.3,92,89,92.1,91.7,,92.4,94.5,94.7,88,91.1,92
39057,0500000US39057,"Greene County, Ohio",91.9,95.5,94.8,,84.9,87.5,93,95.3,95.6,91.8,92.9,94.5,95.6,98.2,92.4,88.6,93.8,93.5,97.8,,90.3,94.5,93.8,93.4,96.5,95.8,,87.9,95.0,93.2,92.4,95.6,95.2
39059,0500000US39059,"Guernsey County, Ohio",86.6,92.4,90.3,,79.9,85.4,87.4,91,96.1,93,89.3,94.3,91.6,94.4,93.2,84.2,91.3,88.7,94,,85.5,91.3,88.6,87.6,93.5,92.1,,77.5,89.3,83.3,86.6,92.4,90.4
39061,0500000US39061,"Hamilton County, Ohio",88.5,93.8,94.4,,79.2,83.4,90.2,92.7,96.4,90,90.5,92.6,95.6,97.8,90.8,90.7,92.4,95.8,97.2,,86.8,92.3,93.1,90,95.2,95.6,,82.3,92.6,92.2,91,94.9,95.5
